Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
V2RETAIL,84,8718,16,21.4,6.9
FLFL,78,29,0,29.3,33
LIBAS,72,32,1.1,21.4,21.5
METROBRAND,51,29278,1.1,4.5,19.9
SIL,51,105,4.4,7.2,24.7
MITTAL,33,50,17.7,13,38.3
WEIZMANIND,18,127,-1.5,-2.5,38.6
HEADSUP,10,15,-1.5,-8.5,44.5
MANYAVAR,10,10190,-6.5,4.8,50.7
THOMASCOTT,7,376,-4.4,-18.9,44.4
STANLEY,7,932,13.8,0.1,56.7
GOCOLORS,3,1770,6.8,-1,64.2
