Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
INFOMEDIA,73,30,5.7,25.2,37.7
JAGRAN,60,1521,5.7,10.1,16.8
SCHAND,53,596,7.1,10.5,33.2
HTMEDIA,52,509,-2.7,0.1,23.1
NAVNETEDUL,50,3153,-1.8,-3.5,15.4
MPSLTD,47,3040,5,20.7,40
SANDESH,41,770,1.8,3,29.2
KEEPLEARN,23,31,-0.9,5.6,48.1
DBCORP,21,3694,-7.4,-9.2,29.1
HMVL,20,468,-4.2,-9.3,36.1
DGCONTENT,14,157,-11.4,-2.5,54.9
