ticker,symbol,name,isin,sector,industry,basic_industry,index_name,source,active,series,free_float_market_cap,last_price,year_high,year_low,near_52w_high_pct,return_30d_pct,return_365d_pct,refreshed_at,exchange,security_id,nse_ticker,bse_ticker,nse_security_id,bse_security_id,data_quality,classification_source
LLOYDSENGG.NS,LLOYDSENGG,Lloyds Engineering Works Ltd.,INE093R01011,Capital Goods,Capital Goods,Capital Goods,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
LLOYDSENT.NS,LLOYDSENT,Lloyds Enterprises Ltd.,INE080I01025,Metals & Mining,Metals & Mining,Metals & Mining,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
LLOYDSME.NS,LLOYDSME,Lloyds Metals And Energy Ltd.,INE281B01032,Metals & Mining,Metals & Mining,Metals & Mining,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
LODHA.NS,LODHA,Lodha Developers Ltd.,INE670K01029,Realty,Realty,Realty,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
LUMAXTECH.NS,LUMAXTECH,Lumax Auto Technologies Ltd.,INE872H01027,Auto,Auto,Auto,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
LUPIN.NS,LUPIN,Lupin Ltd.,INE326A01037,Healthcare,Healthcare,Healthcare,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MMTC.NS,MMTC,MMTC Ltd.,INE123F01029,Services,Services,Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MOIL.NS,MOIL,MOIL Ltd.,INE490G01020,Metals & Mining,Metals & Mining,Metals & Mining,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MRF.NS,MRF,MRF Ltd.,INE883A01011,Auto,Auto,Auto,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MSTCLTD.NS,MSTCLTD,MSTC Ltd.,INE255X01014,Services,Services,Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MTARTECH.NS,MTARTECH,MTAR Technologies Ltd.,INE864I01014,Capital Goods,Capital Goods,Capital Goods,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,BE,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MGL.NS,MGL,Mahanagar Gas Ltd.,INE002S01010,"Oil, Gas & Consumable fuels","Oil, Gas & Consumable fuels","Oil, Gas & Consumable fuels",NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MAHSCOOTER.NS,MAHSCOOTER,Maharashtra Scooters Ltd.,INE288A01013,Financial Services,Financial Services,Financial Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MAHSEAMLES.NS,MAHSEAMLES,Maharashtra Seamless Ltd.,INE271B01025,Capital Goods,Capital Goods,Capital Goods,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
