ticker,symbol,name,isin,sector,industry,basic_industry,index_name,source,active,series,free_float_market_cap,last_price,year_high,year_low,near_52w_high_pct,return_30d_pct,return_365d_pct,refreshed_at,exchange,security_id,nse_ticker,bse_ticker,nse_security_id,bse_security_id,data_quality,classification_source
ABBOTINDIA.NS,ABBOTINDIA,Abbott India Limited,INE358A01014,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABCAPITAL.NS,ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABCOTS.NS,ABCOTS,A B Cotspin India Limited,INE08PH01015,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABDL.NS,ABDL,Allied Blenders and Distillers Limited,INE552Z01027,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABFRL.NS,ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABINFRA.NS,ABINFRA,A B Infrabuild Limited,INE00YB01025,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABLBL.NS,ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABMINTLLTD.NS,ABMINTLLTD,ABM International Limited,INE251C01025,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABMKNO.NS,ABMKNO,ABM Knowledgeware Limited,INE850B01026,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABREL.NS,ABREL,Aditya Birla Real Estate Limited,INE055A01016,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ABSLAMC.NS,ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACC.NS,ACC,ACC Limited,INE012A01025,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACCELYA.NS,ACCELYA,Accelya Solutions India Limited,INE793A01012,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACCURACY.NS,ACCURACY,Accuracy Shipping Limited,INE648Z01023,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACE.NS,ACE,Action Construction Equipment Limited,INE731H01025,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACEINTEG.NS,ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACI.NS,ACI,Archean Chemical Industries Limited,INE128X01021,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACL.NS,ACL,Andhra Cements Limited,INE666E01020,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACMESOLAR.NS,ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACSTECH.NS,ACSTECH,ACS Technologies Limited,INE366C01021,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ACUTAAS.NS,ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADANIENSOL.NS,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADANIENT.NS,ADANIENT,Adani Enterprises Limited,INE423A01024,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
