Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
DELTACORP,61,1958,-2.9,17.8,25.9
BIL,38,967,-5,-10.9,25.6
VIPIND,18,4362,2.3,-15,37.7
BCONCEPTS,5,264,-14.6,-18.5,53.3
SAFARI,5,7418,2.9,-18.9,39.6
