Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
SANGINITA,99,69,30.7,79.6,0
ASIANPAINT,70,255017,6.9,10,11
BERGEPAINT,56,58900,8.9,10.7,16.6
KANSAINER,53,17657,8.5,8.8,17.3
SIRCA,51,2379,-3.2,-8.6,22.1
INDIGOPNTS,45,4749,14.5,5.1,26
JSWDULUX,33,13388,-2.1,-5,25
HINDCON,32,119,2.2,14,42.1
KAMOPAINTS,19,176,-2,21.7,55.9
SHALPAINTS,8,425,-1.3,-9.3,52.8
