Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
CONFIPET,96,2036,6,94.4,8.7
ATGL,79,72477,3.7,28,17.4
IRMENERGY,68,1126,-17.2,17.9,30.2
GAIL,46,110675,1.8,-0.8,16.8
GUJGASLTD,34,25986,-1.4,-7,25.8
HAVISHA,28,23,-1.9,2.6,49.2
MGL,25,10618,-5.9,-10.5,32.3
IGL,23,22483,-2.7,-5,29.9
