Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
COALINDIA,79,282314,1.2,4.4,6.8
BHARATCOAL,61,16742,6.3,8.3,20.1
ANMOL,16,65,-5.7,-2.3,40.6
