Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
GHCLTEXTIL,82,898,5,21.6,5.1
LINDEINDIA,75,62094,0.2,8.1,9.9
TATVA,64,2764,-10.9,-2.9,26.5
REFEX,47,3899,10.9,24,46.8
LXCHEM,44,4283,3.8,18.2,35.9
FAIRCHEMOR,37,793,7.1,6,44.7
TECILCHEM,5,23,-2.7,-3.3,63
