Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
UNIVPHOTO,94,472,1.3,8.9,16.4
NURECA,66,261,2.8,-6,20.3
LAXMIDENTL,50,1358,28.3,31.9,51.6
POLYMED,38,15676,3.5,19.1,36.7
TARSONS,26,1144,-1.8,11.1,53.1
FISCHER,5,2457,0.2,-2.8,69.8
