Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
BANKA,86,91,17.8,43.9,14.5
AWHCL,32,1343,-8.3,-7.9,31.7
EMSLIMITED,21,1872,-6.1,16.3,50.8
RACE,12,210,-2.5,8.7,55.1
CEWATER,3,582,-16.6,-11.3,57.5
