Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
VSTIND,59,4367,-0.6,8.9,19.4
GODFRYPHLP,35,36201,9.8,10.9,41.2
ITC,17,380770,0,-4.9,31.6
GOLDENTOBC,11,47,-7.1,-13,32.4
