Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
HATSUN,60,20836,-6,4.9,20.5
PARAGMILK,46,2638,-8.6,9.3,44
DODLA,37,6591,-1.1,-4.6,28.4
DANGEE,35,50,-8.1,8.2,48.1
HERITGFOOD,24,3081,-7.8,2.3,38.5
