Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
WELINV,98,686,26.1,51.5,5
NAM-INDIA,88,70227,11.2,12.7,2.2
ABSLAMC,86,29404,-4.6,11.5,9.6
CONSOFINVT,82,758,4.2,-2.3,4.7
ICICIAMC,80,165231,2,7.6,7
NAGREEKCAP,73,35,-15.7,8.3,32.2
360ONE,66,46415,9.6,0.9,10.3
HDFCAMC,63,118143,0.1,0.5,7
IVC,40,236,-4.1,1.2,29.2
CRAMC,36,4958,-11,-1.8,29.5
UTIAMC,19,12327,-1.8,-8.4,35.9
DHUNINV,7,537,-5.9,-9.8,44.1
