Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
STARHEALTH,78,30914,1.9,12.4,10.3
POLICYBZR,70,82919,7.7,17.9,9.4
NIVABUPA,67,15516,8.9,9.8,10.7
GICRE,55,68568,-2.1,0.1,10.2
NIACL,55,27313,0.3,11.5,22.6
ICICIGI,49,92592,4.7,-4.4,10.4
GODIGIT,31,28378,-4.3,-10,19.6
