Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
LLOYDSENT,85,10722,2.9,31.7,26
SHIVAUM,80,435,-11.6,16.4,14.8
ASHOKAMET,51,39,-5.6,2,24
BMWVENTLTD,50,539,-4.5,3.2,20.1
NRL,32,371,-2,3.5,42.8
